order_id,product_id,quantity
1,5,4
1,9,3
1,1,4
1,35,2
2,40,3
2,9,2
2,46,2
3,4,2
3,31,2
3,11,3
3,8,3
4,13,1
4,32,2
5,19,3
6,16,2
6,40,1
7,34,2
7,16,2
7,2,2
8,13,4
8,47,3
9,34,3
9,3,4
9,23,2
9,27,2
10,39,1
11,1,1
11,41,2
11,13,1
12,19,1
12,25,2
12,31,1
13,23,4
13,10,2
13,36,4
14,20,4
14,50,2
15,28,2
15,24,3
16,30,3
16,4,1
17,23,4
17,18,4
17,31,2
18,18,4
18,34,3
19,41,4
19,49,3
19,31,1
20,29,2
20,18,4
21,38,1
21,23,4
22,8,1
22,6,1
23,29,4
23,11,1
23,1,3
23,19,1
24,34,4
24,4,4
24,18,3
25,13,3
25,49,2
25,48,4
26,37,1
26,23,2
26,29,1
26,27,1
27,10,3
27,23,1
27,21,3
27,13,1
28,24,4
29,17,4
29,47,1
29,30,1
30,20,3
31,12,1
31,42,1
31,37,2
32,39,4
32,41,3
32,47,4
32,18,4
33,35,4
33,41,4
34,41,1
34,18,1
34,13,4
35,2,4
35,9,1
35,38,3
36,22,1
36,36,1
37,45,1
37,34,1
37,24,4
38,36,2
38,3,4
38,6,4
39,21,4
39,40,2
39,1,4
39,21,4
40,35,1
40,49,2
40,10,1
41,47,1
41,10,2
41,13,1
41,38,4
42,22,1
42,36,2
43,35,1
43,3,3
44,17,4
44,24,1
45,25,4
45,26,2
45,1,4
46,28,4
46,47,1
46,40,4
47,12,3
47,42,3
48,30,1
48,34,1
48,6,3
49,32,1
49,25,1
49,7,4
49,12,4
50,43,1
50,36,1
50,7,4
50,47,3
51,32,3
52,33,3
52,25,4
52,8,1
52,22,3
53,40,3
53,29,1
53,29,2
53,34,4
54,15,4
55,44,2
55,4,2
55,40,1
56,5,4
56,32,4
56,50,3
57,32,4
57,22,1
57,17,3
58,44,3
58,42,1
59,25,2
59,45,3
60,13,1
60,8,4
60,4,3
61,28,3
61,43,1
61,49,3
62,38,4
62,47,3
62,41,2
62,50,2
63,50,1
64,41,3
64,33,2
64,38,3
64,34,3
65,21,2
65,5,2
65,38,2
65,22,2
66,14,2
66,46,1
67,30,3
67,30,2
67,29,4
68,45,3
68,44,1
68,17,4
68,11,1
69,11,3
69,28,4
70,41,4
70,4,3
71,48,4
71,26,2
71,12,3
71,37,1
72,19,3
72,38,2
73,26,2
73,4,4
74,29,3
74,34,1
74,43,3
75,16,2
76,8,1
76,42,4
77,32,4
77,47,2
78,43,3
79,20,4
80,22,1
80,22,4
81,37,2
82,37,4
82,28,2
82,43,1
82,24,2
83,40,2
83,8,4
83,27,2
83,37,3
84,29,3
85,13,1
85,10,4
85,9,2
85,27,2
86,1,4
86,25,1
86,7,1
87,20,4
87,30,3
87,35,1
88,27,2
88,14,1
88,18,1
89,29,4
89,27,2
89,4,1
89,50,1
90,26,1
90,20,4
91,10,3
91,11,1
91,41,1
92,1,1
92,22,2
93,45,1
93,29,4
93,5,4
93,11,4
94,21,3
94,12,2
94,19,1
95,7,3
95,7,2
95,40,1
95,21,2
96,23,2
96,20,3
96,50,4
96,45,1
97,41,4
97,19,4
97,39,2
97,28,2
98,27,4
99,15,3
99,37,1
100,47,4
100,27,4
100,36,2
101,24,4
102,4,3
102,34,1
103,23,1
104,23,1
104,5,3
104,41,1
104,6,1
105,10,4
106,39,2
106,21,1
106,20,3
107,22,3
107,4,4
107,12,2
107,36,3
108,5,1
109,50,2
109,37,1
109,48,3
110,14,1
110,48,3
110,47,2
111,39,4
111,22,1
111,21,4
111,49,4
112,31,2
112,10,4
112,34,3
113,9,1
113,11,4
114,22,1
114,17,4
115,47,1
115,21,1
115,38,1
115,1,3
116,36,1
117,24,2
118,15,4
118,39,3
118,6,1
118,47,3
119,39,1
119,17,2
120,41,1
120,9,1
120,6,2
121,3,1
121,49,4
121,48,3
121,45,3
122,1,1
122,3,2
122,15,4
122,32,4
123,4,2
123,49,3
123,43,4
123,35,4
124,33,2
124,34,1
125,4,4
125,29,3
125,6,1
126,49,4
127,1,1
127,27,4
127,6,4
128,48,4
129,35,3
129,12,4
130,43,2
130,25,4
130,31,4
131,23,2
131,22,3
131,37,4
131,7,2
132,3,2
132,16,3
132,19,3
132,18,4
133,8,4
133,33,1
133,12,2
133,11,1
134,12,1
134,6,1
134,5,1
135,14,1
135,33,2
135,50,4
135,41,3
136,5,3
136,2,2
137,39,4
137,33,1
137,20,2
138,15,3
138,14,3
138,19,4
139,29,4
139,20,1
140,18,3
140,10,1
140,8,2
140,29,2
141,2,2
142,5,4
142,41,1
143,26,4
143,41,1
144,49,4
144,7,3
144,3,2
145,25,3
145,16,2
146,24,2
146,38,2
146,26,3
146,39,3
147,47,2
148,27,1
148,20,4
148,19,4
148,35,3
149,30,1
149,34,2
150,6,3
150,27,2
150,9,1
151,48,2
151,41,3
151,36,3
151,2,1
152,1,3
152,26,1
152,10,1
152,15,3
153,48,1
153,22,4
154,30,1
154,45,4
155,49,1
156,7,1
156,9,4
156,19,1
156,10,4
157,45,2
158,32,4
158,6,4
159,17,2
159,50,3
160,50,3
160,21,3
161,28,3
162,4,1
162,9,3
162,26,3
163,28,1
163,43,1
163,41,2
163,50,4
164,40,3
165,23,3
166,47,4
166,33,1
166,46,1
166,43,4
167,40,3
167,50,3
168,33,3
168,16,2
169,48,3
169,10,2
170,19,4
170,13,4
171,3,2
171,38,1
172,27,2
172,8,3
172,46,2
173,9,1
174,43,1
174,39,1
175,28,1
175,37,1
175,18,4
175,21,2
176,43,3
177,38,2
177,40,4
177,50,4
177,43,1
178,28,2
178,34,3
178,22,4
179,13,4
179,22,4
179,7,1
180,24,4
180,28,3
180,1,3
181,14,2
181,50,1
181,1,2
182,21,4
182,29,1
183,10,4
184,50,3
185,45,3
185,20,3
185,35,4
186,1,4
187,27,4
187,42,3
187,25,1
187,24,1
188,46,4
189,32,1
189,36,2
189,42,1
190,39,4
190,33,1
191,9,2
192,45,3
192,39,2
192,41,2
193,42,3
