order_id,customer_id,order_date,amount
1,37,2024-06-08,640.44
2,9,2024-08-20,362.23
3,48,2024-07-26,899.17
4,152,2024-02-23,784.28
5,152,2024-04-25,102.46
6,200,2024-04-13,614.3
7,112,2024-04-08,974.19
8,146,2024-12-03,495.9
9,163,2024-07-26,994.57
10,161,2024-03-08,252.5
11,21,2024-10-30,751.56
12,128,2024-05-14,726.52
13,128,2024-02-02,551.69
14,187,2024-01-22,259.11
15,38,2024-08-17,405.24
16,182,2024-09-20,638.52
17,21,2024-10-12,652.2
18,111,2024-11-12,509.21
19,4,2024-02-04,773.18
20,17,2024-06-20,941.65
21,46,2024-01-06,382.76
22,37,2024-10-06,344.14
23,46,2024-06-29,580.85
24,188,2024-04-25,308.56
25,160,2024-06-09,330.58
26,128,2024-01-18,565.67
27,54,2024-02-27,931.42
28,174,2024-10-06,224.74
29,175,2024-12-07,371.47
30,127,2024-06-03,309.38
31,17,2024-04-13,703.08
32,43,2024-09-02,372.3
33,170,2024-09-03,431.39
34,50,2024-01-13,99.96
35,135,2024-11-08,635.34
36,20,2024-11-16,89.52
37,144,2024-05-21,892.21
38,143,2024-04-01,587.29
39,32,2024-08-02,678.59
40,51,2024-06-01,171.94
41,190,2024-05-04,842.15
42,58,2024-12-07,265.25
43,170,2024-11-21,317.2
44,188,2024-04-10,531.8
45,53,2024-02-29,231.5
46,5,2024-04-12,103.64
47,109,2024-12-15,549.82
48,55,2024-11-03,150.09
49,114,2024-05-03,720.3
50,147,2024-05-24,410.84
51,19,2024-04-01,749.16
52,90,2024-08-16,200.65
53,62,2024-10-05,439.75
54,140,2024-05-08,189.83
55,1,2024-08-26,265.24
56,126,2024-04-27,720.3
57,117,2024-09-28,526.36
58,192,2024-03-09,619.49
59,195,2024-03-16,574.72
60,179,2024-03-26,34.11
61,69,2024-02-16,59.91
62,190,2024-07-22,36.82
63,176,2024-12-06,484.0
64,33,2024-09-10,445.17
65,23,2024-09-06,623.53
66,69,2024-04-09,64.4
67,138,2024-09-06,934.77
68,96,2024-09-13,548.59
69,4,2024-01-16,89.16
70,2,2024-06-08,941.43
71,152,2024-06-26,581.9
72,33,2024-06-27,824.23
73,12,2024-11-18,824.02
74,168,2024-11-25,222.55
75,29,2024-01-12,118.76
76,130,2024-09-09,112.55
77,35,2024-08-02,89.76
78,8,2024-04-02,847.98
79,90,2024-04-24,296.22
80,196,2024-11-09,702.8
81,75,2024-08-04,807.41
82,164,2024-12-22,755.6
83,192,2024-08-14,990.7
84,36,2024-04-05,353.99
85,190,2024-08-11,861.24
86,113,2024-07-01,755.85
87,99,2024-12-26,390.17
88,113,2024-03-02,506.63
89,86,2024-07-05,117.99
90,100,2024-08-20,850.2
91,9,2024-10-10,951.06
92,128,2024-02-21,581.97
93,111,2024-05-23,459.48
94,99,2024-01-25,562.63
95,53,2024-05-30,785.67
96,39,2024-04-18,932.31
97,186,2024-08-10,74.75
98,163,2024-08-02,555.0
99,75,2024-05-25,969.28
100,9,2024-03-14,840.22
101,145,2024-09-09,841.71
102,174,2024-05-20,238.12
103,137,2024-10-09,712.12
104,5,2024-01-29,103.14
105,83,2024-05-15,386.79
106,65,2024-12-07,816.54
107,71,2024-08-04,600.05
108,36,2024-03-10,714.02
109,19,2024-12-29,567.24
110,91,2024-07-20,908.23
111,39,2024-05-05,502.77
112,141,2024-08-29,479.29
113,58,2024-05-27,136.44
114,61,2024-12-26,749.33
115,131,2024-12-13,962.93
116,191,2024-11-07,537.8
117,117,2024-05-13,806.07
118,173,2024-06-08,564.88
119,47,2024-05-28,62.53
120,164,2024-08-14,701.5
121,185,2024-02-16,636.81
122,14,2024-05-22,465.45
123,117,2024-02-23,592.63
124,144,2024-01-12,959.53
125,16,2024-12-23,466.54
126,156,2024-01-08,186.29
127,164,2024-03-30,400.5
128,60,2024-06-26,280.62
129,101,2024-02-10,274.75
130,155,2024-05-24,294.17
131,157,2024-02-15,94.68
132,134,2024-03-22,428.31
133,197,2024-10-29,920.79
134,10,2024-11-07,879.13
135,109,2024-01-05,45.84
136,33,2024-03-05,490.76
137,177,2024-09-23,602.25
138,63,2024-08-04,970.52
139,27,2024-06-25,841.56
140,98,2024-04-14,426.52
141,129,2024-11-06,867.43
142,197,2024-12-16,754.91
143,3,2024-01-23,773.61
144,165,2024-07-20,852.65
145,145,2024-03-25,461.53
146,110,2024-01-01,954.97
147,4,2024-10-14,65.96
148,95,2024-03-12,41.74
149,162,2024-04-27,834.74
150,50,2024-09-24,820.06
151,133,2024-08-09,795.98
152,145,2024-04-21,490.45
153,151,2024-07-25,788.97
154,142,2024-03-06,808.94
155,103,2024-07-10,34.25
156,38,2024-11-01,598.12
157,30,2024-11-30,448.73
158,191,2024-11-03,556.5
159,79,2024-01-30,629.64
160,51,2024-03-21,950.53
161,132,2024-05-17,928.06
162,74,2024-09-29,273.08
163,69,2024-02-03,628.39
164,194,2024-07-23,224.95
165,43,2024-08-27,354.73
166,111,2024-09-05,470.92
167,80,2024-04-04,412.29
168,144,2024-01-08,196.47
169,132,2024-07-02,423.43
170,96,2024-07-13,524.93
171,160,2024-03-01,208.44
172,147,2024-10-03,185.56
173,92,2024-06-18,193.47
174,149,2024-11-21,138.22
175,12,2024-12-11,896.33
176,177,2024-03-18,343.5
177,155,2024-03-13,110.44
178,47,2024-04-30,694.03
179,56,2024-12-15,173.84
180,48,2024-03-01,22.54
181,36,2024-09-13,102.83
182,99,2024-09-09,986.53
183,47,2024-05-06,925.56
184,14,2024-01-28,381.54
185,130,2024-12-30,81.09
186,187,2024-11-07,150.45
187,3,2024-04-20,847.55
188,107,2024-08-26,49.86
189,18,2024-10-20,541.96
190,15,2024-07-10,283.86
191,28,2024-07-20,572.69
192,17,2024-08-18,107.42
193,126,2024-10-26,248.55
194,13,2024-07-30,484.49
195,138,2024-03-07,655.85
196,146,2024-04-20,592.52
197,34,2024-04-20,750.53
198,113,2024-08-23,145.03
199,169,2024-04-10,375.82
200,26,2024-11-15,579.36
201,184,2024-11-10,986.78
202,121,2024-10-15,27.38
203,21,2024-07-16,378.05
204,112,2024-01-04,853.8
205,190,2024-11-13,809.75
206,152,2024-11-06,845.47
207,131,2024-08-30,37.88
208,36,2024-08-10,898.68
209,75,2024-01-04,25.19
210,118,2024-04-03,187.47
211,179,2024-03-02,930.79
212,79,2024-07-21,580.18
213,179,2024-06-21,774.1
214,70,2024-04-27,716.73
215,20,2024-04-22,539.24
216,1,2024-03-30,772.42
217,38,2024-10-19,515.98
218,100,2024-11-28,541.94
219,161,2024-06-26,465.18
220,5,2024-05-17,990.16
221,13,2024-06-16,813.68
222,65,2024-11-14,687.87
223,17,2024-09-21,603.73
224,152,2024-02-07,423.6
225,94,2024-04-04,930.94
226,62,2024-08-23,420.35
227,117,2024-05-16,220.9
228,35,2024-01-01,746.3
229,150,2024-02-29,844.99
230,72,2024-09-23,799.36
231,14,2024-11-11,180.38
232,165,2024-01-05,250.98
233,78,2024-03-02,371.65
234,42,2024-03-29,689.32
235,72,2024-10-21,719.51
236,32,2024-06-27,631.62
237,97,2024-01-23,449.97
238,153,2024-05-24,901.58
239,194,2024-11-04,908.34
240,179,2024-02-08,134.56
241,134,2024-03-07,635.15
242,200,2024-02-11,156.49
243,15,2024-04-20,627.67
244,155,2024-06-05,168.64
245,97,2024-10-15,52.86
246,86,2024-11-17,767.21
247,123,2024-11-25,355.24
248,38,2024-06-07,391.25
249,109,2024-08-03,611.88
250,15,2024-06-05,549.06
251,157,2024-02-16,420.78
252,173,2024-05-09,31.96
253,115,2024-08-30,574.2
254,26,2024-10-25,607.05
255,148,2024-01-11,959.89
256,104,2024-02-07,242.8
257,23,2024-10-29,302.17
258,107,2024-08-05,594.51
259,190,2024-07-28,619.23
260,111,2024-04-13,874.68
261,100,2024-11-19,794.28
262,37,2024-11-23,658.34
263,92,2024-10-13,614.58
264,51,2024-01-29,122.16
265,41,2024-08-01,912.47
266,1,2024-10-28,251.19
267,90,2024-04-19,202.59
268,57,2024-01-01,872.5
269,55,2024-05-28,391.72
270,53,2024-05-16,221.47
271,57,2024-04-26,611.65
272,35,2024-03-03,426.21
273,90,2024-03-15,924.5
274,135,2024-07-28,491.22
275,91,2024-01-17,595.33
276,187,2024-12-29,914.49
277,182,2024-05-31,586.08
278,180,2024-07-16,53.2
279,161,2024-06-25,784.89
280,150,2024-06-02,32.83
281,49,2024-12-02,961.85
282,177,2024-05-27,426.33
283,63,2024-07-07,200.77
284,71,2024-09-13,323.74
285,179,2024-07-29,362.4
286,158,2024-10-11,632.48
287,30,2024-05-23,573.54
288,18,2024-09-13,780.02
289,175,2024-07-12,543.77
290,113,2024-04-23,507.07
291,179,2024-11-14,120.92
292,8,2024-02-24,947.19
293,32,2024-09-22,285.33
294,110,2024-06-10,420.56
295,87,2024-02-24,173.03
296,178,2024-12-14,419.82
297,57,2024-09-03,268.81
298,187,2024-09-11,39.32
299,54,2024-09-05,803.92
300,67,2024-02-20,659.69
